Parameter,Category,Normal_Range,Unit,Clinical_Significance
Na+,Điện giải,135 - 145,mmol/L,Quyết định áp suất thẩm thấu ngoại bào chính
K+,Điện giải,3.5 - 5.0,mmol/L,Quyết định điện thế màng nghỉ tế bào & nhịp tim
Ca2+ (Toàn phần),Điện giải,2.15 - 2.55,mmol/L,Co cơ & dẫn truyền thần kinh
Cl-,Điện giải,98 - 106,mmol/L,Cân bằng Anion Gap & thăng bằng toan kiềm
HCO3-,Toan kiềm,22 - 26,mmol/L,Hệ đệm chính của máu động mạch
PaO2,Khí máu,80 - 100,mmHg,Phân áp Oxy hòa tan trong máu động mạch
PaCO2,Khí máu,35 - 45,mmHg,Phân áp CO2 động mạch do thông khí phổi quyết định
pH Máu,Toan kiềm,7.35 - 7.45,pH unit,Trạng thái cân bằng Acid-Base nội môi
Osmolality Huyết tương,Thẩm thấu,275 - 295,mOsm/kg,Độ áp suất thẩm thấu huyết tương
Cung lượng tim (CO),Huyết động,4.0 - 8.0,L/phút,Tổng lượng máu tim bơm trong 1 phút
Huyết áp Trung bình (MAP),Huyết động,70 - 105,mmHg,Áp suất tưới máu cơ quan đích
SVR (Kháng lực mạch hệ thống),Huyết động,800 - 1200,dyn.s/cm5,Sức cản dòng chảy động mạch ngoại biên
eGFR (Độ lọc cầu thận),Thận,> 90,mL/min/1.73m2,Mức độ hoạt động lọc của 2 triệu nephron
