id,name,icd10,icon,color,bg
heart-failure,Suy tim (Heart Failure),"[""I50"", ""I50.1"", ""I50.9""]",🫀,#dc2626,#fef2f2
hypertension,Tăng huyết áp,"[""I10"", ""I11"", ""I15""]",🫁,#0891b2,#ecfeff
af,Rung nhĩ (AF),"[""I48"", ""I48.0""]",⚡,#ea580c,#fff7ed
cad,Bệnh động mạch vành (CAD/CCS),"[""I25"", ""I20"", ""I21""]",❤️‍🔥,#b91c1c,#fff1f1
valvular-heart,Bệnh van tim,"[""I34"", ""I35"", ""I05""]",💓,#be123c,#fff1f2
diabetes-t2d,Đái tháo đường Típ 2,"[""E11"", ""E11.9"", ""E11.2""]",🩸,#7c3aed,#faf5ff
diabetes-t1d,Đái tháo đường Típ 1,"[""E10"", ""E10.9""]",💉,#6d28d9,#f5f3ff
thyroid,Bệnh lý tuyến giáp (Bão giáp / Nhược giáp),"[""E05"", ""E05.5"", ""E03""]",🦋,#0284c7,#f0f9ff
dyslipidemia,Rối loạn lipid máu,"[""E78"", ""E78.0"", ""E78.5""]",🧪,#d97706,#fffbeb
obesity,Béo phì & Hội chứng chuyển hóa,"[""E66"", ""E66.9"", ""E88.81""]",⚖️,#9a3412,#fff7ed
copd,Bệnh phổi tắc nghẽn mạn tính (COPD),"[""J44"", ""J44.9"", ""J44.1""]",🌬️,#0284c7,#f0f9ff
asthma,Hen suyễn (Asthma),"[""J45"", ""J45.9""]",💨,#0d9488,#f0fdfa
pneumonia,Viêm phổi mắc phải cộng đồng & Bệnh viện,"[""J18"", ""J15"", ""J18.9""]",🩺,#2563eb,#eff6ff
interstitial-lung,Bệnh phổi mô kẽ & Xơ phổi,"[""J84"", ""J84.1""]",🫁,#475569,#f8fafc
tb,Lao phổi & Lao ngoài phổi,"[""A15"", ""A16"", ""A19""]",🔬,#b45309,#fef3c7
ckd,Bệnh thận mạn (CKD),"[""N18"", ""N18.3"", ""N18.9""]",🧪,#059669,#ecfdf5
aki,Tổn thương thận cấp (AKI),"[""N17"", ""N17.9""]",💧,#047857,#f0fdf4
nephrotic,Hội chứng thận hư & Viêm cầu thận,"[""N04"", ""N00"", ""N03""]",🧫,#0f766e,#f0fdfa
bph-luts,Tăng sinh lành tính tuyến tiền liệt (BPH/LUTS),"[""N40"", ""N40.1""]",🚹,#4338ca,#eef2ff
uti,Nhiễm khuẩn tiết niệu,"[""N39.0"", ""N10""]",🚽,#1d4ed8,#eff6ff
icu,Nhiễm trùng Hồi sức & Sốc nhiễm khuẩn,"[""A41"", ""A41.9"", ""R65.2"", ""R57.2""]",💉,#059669,#ecfdf5
hepatitis-b,Viêm gan vi rút B,"[""B18.0"", ""B18.1""]",🟡,#ca8a04,#fefce8
hepatitis-c,Viêm gan vi rút C,"[""B18.2""]",🟢,#16a34a,#f0fdf4
flu,Cúm mùa,"[""J09"", ""J10"", ""J11""]",🌡️,#2563eb,#eff6ff
covid19,COVID-19,"[""U07.1""]",🦠,#6366f1,#e0e7ff
hemorrhagic-fever,Sốt xuất huyết (Dengue/Marburg/Ebola/Nipah),"[""A90"", ""A91"", ""A98.3"", ""A98.4"", ""A98""]",⚠️,#be185d,#fce7f3
measles,Sởi,"[""B05""]",🔴,#e11d48,#fff1f2
invasive-fungal,Nhiễm nấm xâm lấn & Aspergillus,"[""B49"", ""B44""]",🧫,#854d0e,#fefce8
hfmd,Bệnh Tay chân miệng,"[""B08.4""]",👶,#ea580c,#fff7ed
cirrhosis,Xơ gan & Tăng áp tĩnh mạch cửa,"[""K74"", ""K70.3""]",🍷,#991b1b,#fef2f2
masld-mash,Gan nhiễm mỡ (MASLD / MASH),"[""K76.0"", ""K75.8""]",🥑,#65a30d,#f7fee7
gerd-peptic,Trào ngược GERD & Loét dạ dày,"[""K21"", ""K25"", ""K27""]",🔥,#c2410c,#fff7ed
ibd,Viêm ruột mạn tính (IBD - Crohn / UC),"[""K50"", ""K51""]",🌀,#7e22ce,#faf5ff
stroke,Đột quỵ thiếu máu & Xuất huyết não,"[""I63"", ""I61"", ""I64"", ""G45""]",🧠,#9333ea,#faf5ff
epilepsy,Động kinh & Co giật,"[""G40"", ""G40.9""]",⚡,#a855f7,#f3e8ff
headache-migraine,Đau đầu & Migraine,"[""G43"", ""G44""]",🤯,#6b21a8,#faf5ff
gout,Bệnh Gút (Gout),"[""M10"", ""M10.0""]",🦶,#b91c1c,#fef2f2
ra,Viêm khớp dạng thấp (RA),"[""M05"", ""M06""]",🦴,#c05621,#fffaf0
osteoporosis,Loãng xương,"[""M81"", ""M80""]",🦴,#71717a,#f4f4f5
lupus-sle,Lupus ban đỏ hệ thống (SLE),"[""M32""]",🦋,#be185d,#fce7f3
solid-cancers,"Ung thư các tạng (Phổi, Gan, Vú, Đại trực tràng)","[""C34"", ""C22"", ""C50"", ""C18""]",🎗️,#be123c,#fff1f2
vte-pe,Huyết khối tĩnh mạch & Thuyên tắc phổi (VTE/PE),"[""I82"", ""I26""]",🩸,#9f1239,#fff1f2
